,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
42,553000,970000,320000,919000,230000,208000,237000,245000,1450000,230000,621000,500000,480000,585000,1455000,665000,445000,460000,958000,493000,508000,769000,588000,235000,265000,525000,441000,1150000,290000,299000,295000,276000,405000,410000,1141000,802000,1200000,450000,239000,598000,690000,225000,95000,320000,668000,607000,1343000,717000,665000,595000,445000,190000,417000,480000,410000,635000,410000,806000,131000,461000,595000,560000,181000,990000,516000,958000,395000,320000,320000,706000,1190000,421000,595000,618000,392000,908000,485000,444000,900000,1023000,742000,450000
43,500000,968000,299000,945000,263000,206000,225000,256000,1403000,263000,646000,432000,474000,560000,1435000,650000,416000,452000,890000,492000,600000,771000,592000,275000,255000,488000,441000,1500000,285000,305000,288000,266000,390000,393000,1199000,945000,1300000,423000,256000,592000,683000,285000,73000,299000,660000,628000,1250000,773000,855000,530000,464000,190000,406000,490000,482000,615000,482000,845000,160000,451000,592000,556000,248000,1000000,510000,890000,364000,322000,322000,680000,1225000,410000,599000,570000,380000,885000,536000,450000,625000,1030000,742000,530000
44,500000,976000,299000,962000,263000,210000,200000,245000,1370000,263000,625000,510000,475000,557000,1300000,646000,392000,473000,879000,487000,489000,801000,570000,282000,255000,475000,440000,1769000,285000,499000,310000,270000,385000,403000,1162000,945000,1380000,408000,260000,643000,700000,268000,70000,299000,549000,634000,1250000,766000,480000,535000,458000,179000,437000,485000,795000,650000,795000,980000,200000,450000,570000,608000,236000,1475000,505000,877000,395000,332000,332000,628000,1178000,417000,550000,567000,350000,964000,536000,500000,580000,1000000,696000,574000
45,500000,985000,274000,951000,340000,215000,207000,263000,1525000,340000,658000,500000,475000,582000,1062000,630000,316000,409000,940000,477000,630000,824000,599000,238000,255000,472000,468000,1935000,285000,499000,300000,275000,388000,405000,1233000,980000,1405000,409000,247000,710000,685000,268000,70000,274000,439000,650000,1123000,763000,480000,574000,471000,195000,456000,479000,795000,710000,795000,981000,188000,439000,592000,609000,234000,1540000,440000,935000,362000,345000,345000,663000,1123000,413000,585000,565000,631000,1025000,534000,447000,549000,1100000,630000,564000
46,532000,1020000,188000,982000,294000,178000,255000,253000,1749000,297000,606000,500000,476000,556000,885000,673000,310000,421000,936000,480000,465000,824000,590000,200000,252000,472000,442000,1908000,285000,480000,300000,268000,386000,405000,1275000,1206000,1313000,430000,226000,697000,696000,202000,269000,188000,562000,688000,1228000,755000,595000,649000,495000,228000,420000,490000,633000,697000,633000,980000,184000,429000,599000,630000,213000,925000,440000,915000,350000,336000,336000,692000,1254000,400000,626000,628000,643000,901000,488000,438000,487000,1211000,523000,535000
47,517000,963000,219000,962000,294000,210000,265000,230000,1875000,294000,620000,455000,500000,578000,1420000,645000,303000,421000,947000,475000,457000,805000,590000,200000,250000,475000,425000,1331000,289000,455000,235000,248000,370000,393000,1245000,890000,1363000,427000,238000,645000,700000,211000,186000,219000,585000,735000,1228000,755000,699000,656000,510000,274000,400000,490000,610000,713000,610000,925000,131000,425000,600000,582000,217000,757000,450000,923000,334000,350000,350000,688000,1180000,411000,660000,620000,632000,876000,480000,435000,549000,1350000,362000,439000
48,538000,949000,289000,1007000,292000,210000,269000,225000,1472000,292000,597000,455000,488000,602000,1313000,620000,348000,435000,888000,478000,433000,816000,570000,229000,165000,475000,398000,1370000,268000,280000,235000,230000,368000,375000,1198000,835000,1338000,399000,238000,625000,691000,190000,320000,289000,590000,643000,1235000,755000,670000,654000,483000,278000,418000,500000,595000,635000,595000,925000,225000,425000,594000,616000,213000,757000,590000,863000,320000,365000,365000,670000,931000,416000,637000,604000,645000,850000,530000,540000,465000,1350000,300000,480000
49,535000,1083000,313000,984000,354000,220000,272000,240000,1195000,307000,586000,538000,466000,600000,1250000,605000,348000,436000,941000,480000,355000,803000,550000,220000,207000,575000,401000,1170000,260000,285000,290000,270000,350000,363000,938000,855000,1255000,393000,278000,648000,700000,238000,320000,313000,600000,659000,925000,638000,588000,640000,466000,282000,420000,443000,445000,653000,445000,1015000,225000,439000,587000,579000,290000,1200000,590000,935000,332000,383000,383000,650000,868000,440000,637000,597000,614000,971000,530000,465000,489000,1493000,294000,456000
50,510000,1004000,289000,1110000,360000,175000,270000,285000,1195000,316000,593000,509000,462000,593000,1003000,606000,390000,396000,949000,470000,415000,800000,552000,229000,207000,502000,442000,1260000,248000,308000,315000,315000,375000,375000,1145000,849000,1105000,412000,280000,656000,689000,245000,320000,289000,600000,655000,1095000,687000,805000,687000,550000,270000,455000,461000,445000,661000,445000,1250000,248000,455000,585000,621000,270000,1458000,590000,949000,368000,360000,360000,653000,878000,418000,592000,606000,640000,971000,545000,408000,465000,1200000,449000,489000
51,465000,950000,336000,957000,324000,150000,275000,318000,1195000,309000,617000,527000,478000,600000,884000,630000,390000,389000,964000,500000,432000,867000,575000,230000,245000,550000,417000,1260000,259000,317000,319000,320000,393000,397000,1250000,869000,1008000,446000,277000,663000,696000,284000,98000,336000,690000,705000,1698000,666000,799000,699000,660000,270000,418000,507000,455000,665000,455000,950000,271000,485000,605000,608000,287000,2198000,568000,964000,390000,340000,340000,670000,1100000,444000,640000,649000,500000,971000,548000,392000,585000,1095000,447000,456000
