,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
2718,"(46, 74)",-0.10318108920601635,0.917932942056128,181.8564004457505,2003.5,0.485565768665597,0.09677419354838707,0.7765024241168359,4122.5,0.582740038513464,1,1,1,1
2719,"(46, 75)",,,,2072.0,0.6636380435901335,0.12903225806451613,0.4210978127131917,4128.0,0.5929609268679419,1,1,1,1
2720,"(46, 76)",1.125869421667806,0.2624255643929912,122.28393013066061,2078.5,0.6818186008703211,0.19354838709677424,0.06137500022392171,4200.5,0.7364990555872186,1,1,1,1
2721,"(46, 77)",1.1126004710547717,0.26790564975696507,131.77332436309334,2074.5,0.6706112812833251,0.18279569892473121,0.08941479770378842,4228.0,0.7936276618636933,1,1,1,1
2722,"(46, 78)",1.1011177579539644,0.272984711425078,123.62502438436155,2094.5,0.7273325946860074,0.19354838709677422,0.06137500022392179,4180.0,0.694811615426732,1,1,1,1
2723,"(46, 79)",1.1410097406497357,0.2560079068027143,127.29518291031432,2086.0,0.703020984306525,0.21505376344086022,0.02710788651104582,4200.0,0.7354081024185104,1,1,0,1
2724,"(46, 80)",1.0229431570172705,0.3081355114164059,137.1612801704666,2118.0,0.7959176640412449,0.16129032258064518,0.17783264409307828,4258.5,0.8583228560134,1,1,1,1
2725,"(46, 81)",1.2149009147611916,0.22692172988828557,113.65904951231256,2117.5,0.7944391644029156,0.25806451612903225,0.004085132093109034,4168.5,0.671726659509664,1,1,0,1
2726,"(47, 48)",0.5839615627579807,0.5601082106544466,152.63031529040774,2151.5,0.896348659680423,0.0967741935483871,0.7765024241168355,4416.5,0.802997133795786,1,1,1,1
2727,"(47, 49)",0.9786066708126397,0.329830864326339,114.87071895728506,2003.5,0.4855805822422745,0.13978494623655924,0.3235650060264084,4200.5,0.7364811828979876,1,1,1,1
2728,"(47, 50)",0.6175908911898873,0.5378611836765402,138.22384480480534,2168.5,0.948063090526318,0.11827956989247312,0.5335084608160066,4119.5,0.5770578676768794,1,1,1,1
2729,"(47, 51)",1.114476457584074,0.267614189991432,105.21294093136132,2142.0,0.8676257164057135,0.19354838709677424,0.06137500022392171,4138.5,0.6130094168257507,1,1,1,1
2730,"(47, 52)",0.7799445211685243,0.43708315566634026,111.0199530143823,2088.5,0.7101415991344358,0.2150537634408602,0.02710788651104587,4070.5,0.4896283359977388,1,1,0,1
2731,"(47, 53)",0.6196741467554745,0.5365052393330806,136.51483635935998,2065.5,0.6456633688218175,0.10752688172043012,0.655429386457258,4188.5,0.7116740777915707,1,1,1,1
2732,"(47, 54)",0.3265541026901106,0.7444426714036227,156.06909597685564,2060.5,0.6319713471230024,0.08602150537634409,0.8815272017572049,4219.5,0.7756560812877606,1,1,1,1
2733,"(47, 55)",0.8818569170166459,0.37948976136034673,129.36713608475534,2128.0,0.8256211133172484,0.15053763440860213,0.2426399621888428,4277.5,0.8991192381720281,1,1,1,1
2734,"(47, 56)",0.4126069581544887,0.6804608049011751,156.0811991929345,2095.0,0.7287700775697956,0.08602150537634409,0.8815272017572049,4274.0,0.8915401163991673,1,1,1,1
2735,"(47, 57)",0.6408518768073511,0.5226216958967963,146.27033136771252,1958.0,0.3833766998226166,0.08602150537634407,0.8815272017572051,4291.0,0.9282927965866038,1,1,1,1
2736,"(47, 58)",0.23438664683522553,0.8149686152729398,168.95631673109727,2115.0,0.7870539031126496,0.13978494623655918,0.3235650060264089,4334.5,0.9793111434446754,1,1,1,1
2737,"(47, 59)",1.24756746635712,0.21524144013239788,95.45665092462632,2134.5,0.8450701575095825,0.3333333333333333,6.506094234534034e-05,4074.0,0.49578425311825824,1,1,0,1
2738,"(47, 60)",1.20519153597149,0.23098187592314995,99.7098180658338,2035.0,0.5641715950710179,0.26881720430107525,0.002412038764518962,4221.5,0.7800392912220993,1,1,0,1
2739,"(47, 61)",0.9625444600739685,0.3379761590313469,105.55040924428255,2029.5,0.5500181304961527,0.2043010752688172,0.041230293613639675,4071.5,0.49146089020281924,1,1,0,1
2740,"(47, 62)",0.15776890507284824,0.8748248917245125,171.14325823945987,2147.0,0.8827215941882567,0.07526881720430106,0.9548210883333181,4124.5,0.5858383768219071,1,1,1,1
2741,"(47, 63)",0.6382382551310322,0.5243494326229734,141.6034907134049,2118.0,0.7959112544186051,0.09677419354838707,0.7765024241168359,4190.5,0.7156357367892385,1,1,1,1
2742,"(47, 64)",1.1443030954189974,0.2551750688549689,102.04241730867764,2119.5,0.8003564160894752,0.23655913978494622,0.01098577460938763,4151.5,0.6381944791380899,1,1,0,1
2743,"(47, 65)",0.891933158538875,0.3741932250239923,121.40066910816951,1975.5,0.42102757827619075,0.12903225806451613,0.4210978127131917,4228.0,0.7936129774576383,1,1,1,1
2744,"(47, 66)",1.2159566124020191,0.22690434054886774,98.60859786788004,2097.0,0.7345352901724646,0.24731182795698925,0.006771552476655329,4167.0,0.6688145482424921,1,1,0,1
2745,"(47, 67)",1.1352299592502995,0.25886566540404005,104.92136856903933,2064.5,0.6429164910281655,0.18279569892473116,0.08941479770378861,4194.0,0.7230598057151336,1,1,1,1
2746,"(47, 68)",1.12512782687294,0.2630952316841146,105.20450766537022,2057.0,0.6224631306562762,0.18279569892473116,0.08941479770378861,4187.0,0.7088380773395278,1,1,1,1
2747,"(47, 69)",1.0515613619090136,0.29538325691189166,106.39916921753434,2025.5,0.539839638583801,0.1827956989247312,0.08941479770378853,4139.0,0.61405411484425,1,1,1,1
2748,"(47, 70)",0.9409028759495728,0.34861961630284144,121.62782761007254,2031.0,0.5538624633004103,0.10752688172043011,0.6554293864572581,4218.0,0.7726939824803085,1,1,1,1
2749,"(47, 71)",1.1125565210673194,0.26845257128381955,104.46665534528086,2128.0,0.8256236322839253,0.22580645161290325,0.017443486495211147,4093.5,0.5298954568404524,1,1,0,1
2750,"(47, 72)",1.1533513002215392,0.2513480910536165,106.50167419871481,2106.0,0.7606610751657112,0.17204301075268816,0.1274794396665775,4212.5,0.7611896501131027,1,1,1,1
2751,"(47, 73)",1.1278685327329232,0.2619908909550274,103.19651409409052,2070.5,0.6594761919108358,0.1935483870967742,0.061375000223921845,4166.5,0.6678239064051233,1,1,1,1
2752,"(47, 74)",-0.23074783546652322,0.8177734338715488,179.54239659346115,1908.0,0.2876501938451874,0.08602150537634412,0.8815272017572048,4167.5,0.6693811948349659,1,1,1,1
2753,"(47, 75)",,,,1804.5,0.14432049250068715,0.10752688172043012,0.655429386457258,4107.5,0.5545105471941355,1,1,1,1
2754,"(47, 76)",0.9188531833824312,0.3600225999378528,119.54679983682307,2017.0,0.5185209197703303,0.12903225806451613,0.4210978127131917,4180.0,0.6946906742602289,1,1,1,1
2755,"(47, 77)",0.9117388944232455,0.36361584806938896,128.3190173435283,2112.0,0.7782309030478838,0.09677419354838712,0.7765024241168351,4242.0,0.8230975013260237,1,1,1,1
2756,"(47, 78)",0.8959339364908945,0.3720702125219778,120.78031151607213,2075.0,0.6720082582322348,0.11827956989247312,0.5335084608160066,4240.5,0.8199743388595633,1,1,1,1
2757,"(47, 79)",0.9363456023583818,0.3509128822187878,124.16591774725453,2090.0,0.7144258818100899,0.1182795698924731,0.5335084608160068,4289.0,0.9239622604838879,1,1,1,1
2758,"(47, 80)",0.8287703967727953,0.4087152559564049,133.35413228543302,2076.0,0.6748053274339283,0.10752688172043007,0.6554293864572585,4264.0,0.8700309621744359,1,1,1,1
2759,"(47, 81)",0.9987870602441152,0.3200575601384253,111.65210117406714,2139.5,0.8600938081727998,0.18279569892473113,0.08941479770378874,4156.5,0.6478405599058613,1,1,1,1
2760,"(48, 49)",0.49875570633296984,0.6186943920480086,147.51725255387794,2080.5,0.6874497042061203,0.13978494623655913,0.32356500602640936,4035.0,0.4311142743318409,1,1,1,1
2761,"(48, 50)",0.013446112884821311,0.9892868428990607,179.10984575860851,2125.0,0.8166831800303112,0.13978494623655918,0.3235650060264089,4018.0,0.40430779640542114,1,1,1,1
2762,"(48, 51)",0.700401211459968,0.48496748840780646,126.05736317644052,2085.0,0.7001788687978161,0.22580645161290325,0.017443486495211147,3920.0,0.27093656315010783,1,1,0,1
2763,"(48, 52)",0.19421856409146185,0.8462873771223274,139.45668171544327,1908.5,0.288528035457139,0.24731182795698925,0.006771552476655329,3850.0,0.19657104218410104,1,1,0,1
2764,"(48, 53)",0.012561702560013441,0.989991556342332,177.83325827450966,2182.5,0.9908285765049494,0.10752688172043012,0.655429386457258,4090.0,0.523587941257015,1,1,1,1
2765,"(48, 54)",-0.3369699517031152,0.736524135707129,183.74160365759744,2107.0,0.7635792512507945,0.10752688172043012,0.655429386457258,4160.0,0.6548933197395356,1,1,1,1
2766,"(48, 55)",0.3727272492852354,0.7098137091823652,170.74941307195587,1986.5,0.44576559067566257,0.10752688172043001,0.6554293864572593,4129.5,0.5961196922542344,1,1,1,1
