,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
2578,"(42, 80)",-0.7037341554539295,0.4825923182420363,164.6575126586191,2033.5,0.5602904040066362,0.18279569892473124,0.08941479770378834,4207.0,0.7496451364573053,1,1,1,1
2579,"(42, 81)",0.22943229534746337,0.8188100647470419,169.18759817562537,2150.5,0.8933173809864543,0.10752688172043012,0.655429386457258,4241.0,0.8209403261649145,1,1,1,1
2580,"(43, 44)",-1.0766654813065313,0.2836890357586954,125.86788978420665,2086.5,0.7044305413896961,0.20430107526881722,0.04123029361363962,4675.5,0.3380606336356584,1,1,0,1
2581,"(43, 45)",0.1604341105474276,0.8727181094637301,180.92246915044507,2156.0,0.9100045234329093,0.13978494623655913,0.32356500602640936,4273.5,0.8904832241013169,1,1,1,1
2582,"(43, 46)",-0.5308733093578671,0.5961939909597875,171.3471874454636,2082.5,0.6930938899873176,0.12903225806451613,0.4210978127131917,4302.5,0.9531753974534405,1,1,1,1
2583,"(43, 47)",,,,2057.0,0.6224541893486206,0.20430107526881724,0.041230293613639564,4297.5,0.9421799353763215,1,1,0,1
2584,"(43, 48)",,,,1875.0,0.23414718587316175,0.19354838709677422,0.06137500022392179,4229.5,0.7963284739567913,1,1,1,1
2585,"(43, 49)",-0.12668549717256353,0.8993279118488386,183.65952520616798,2182.0,0.9893001499166671,0.11827956989247312,0.5335084608160066,4329.5,0.9902094674642815,1,1,1,1
2586,"(43, 50)",-0.5473075758874107,0.5849594198092408,154.05824950286726,2082.0,0.6916798091933903,0.09677419354838707,0.7765024241168359,4407.5,0.8216843534198032,1,1,1,1
2587,"(43, 51)",0.9984737301647136,0.31980813338507286,137.14490926957566,1892.5,0.2615815031696179,0.18279569892473124,0.08941479770378834,4382.0,0.8764236182136963,1,1,1,1
2588,"(43, 52)",0.06674607756920593,0.946857067071801,182.12276051309905,2158.0,0.9160820835016202,0.05376344086021512,0.9992943266717298,4318.5,0.9880187284551651,1,1,1,1
2589,"(43, 53)",,,,2056.0,0.6197456045828998,0.19354838709677422,0.06137500022392179,4297.5,0.9423039182907328,1,1,1,1
2590,"(43, 54)",,,,1782.5,0.12254499937346673,0.26881720430107536,0.002412038764518949,3999.0,0.3747434533330053,1,1,0,1
2591,"(43, 55)",-0.7262371499621403,0.46869434615491057,169.62052104794316,2045.0,0.5903366406463293,0.11827956989247312,0.5335084608160066,4214.5,0.7650444580957363,1,1,1,1
2592,"(43, 56)",,,,1795.0,0.13457718435036076,0.26881720430107525,0.002412038764518962,4114.5,0.5672871129494798,1,1,0,1
2593,"(43, 57)",-1.622823037787733,0.10713336058356751,125.66328921582719,2072.0,0.6636377539127234,0.17204301075268813,0.1274794396665776,4191.5,0.7176142885529744,1,1,1,1
2594,"(43, 58)",-0.6286699945661562,0.5305185167904918,150.43345140304905,2167.0,0.9434884547294334,0.11827956989247315,0.5335084608160062,4394.5,0.8491921836207946,1,1,1,1
2595,"(43, 59)",0.9578396253891477,0.3402687874847792,108.72094115016951,2027.0,0.5436446077348571,0.26881720430107525,0.002412038764518962,4202.0,0.7394376653510817,1,1,0,1
2596,"(43, 60)",0.750925022680158,0.4540385378530948,131.58986161474303,2083.5,0.6959247113725127,0.1935483870967742,0.061375000223921845,4221.0,0.7789069065956767,1,1,1,1
2597,"(43, 61)",-0.7305722715891594,0.465970508339973,183.83247467660482,2042.0,0.5824313977928957,0.13978494623655913,0.32356500602640936,4049.0,0.45337563868629827,1,1,1,1
2598,"(43, 62)",,,,1936.0,0.3390628780159689,0.16129032258064513,0.17783264409307842,4226.5,0.7896689112517419,1,1,1,1
2599,"(43, 63)",-0.34034316695700595,0.7340055087176292,175.34179724721895,2129.0,0.8286072179042877,0.08602150537634407,0.8815272017572051,4517.5,0.5987869546634772,1,1,1,1
2600,"(43, 64)",0.6386946157029685,0.5240181525377543,146.60602840660295,1934.5,0.3361835034293116,0.15053763440860224,0.24263996218884212,4235.5,0.8093209230451907,1,1,1,1
2601,"(43, 65)",-0.10046118881173975,0.9200893413382262,181.06891434860748,2147.0,0.8827234103920523,0.10752688172043012,0.655429386457258,4368.5,0.9055602476301067,1,1,1,1
2602,"(43, 66)",1.0215940943256134,0.30921295894231415,110.079657770277,2048.5,0.5996323685396993,0.29032258064516125,0.0007883546570811146,4264.5,0.871154112439762,1,1,0,1
2603,"(43, 67)",0.4328984357733265,0.6656264848794997,173.41132347389944,2091.5,0.7187181956320255,0.09677419354838712,0.7765024241168351,4370.5,0.9012555547922648,1,1,1,1
2604,"(43, 68)",0.42242213610040724,0.6732386401296604,173.93534046830425,2092.5,0.7215856013570194,0.09677419354838712,0.7765024241168351,4366.5,0.9098974378886538,1,1,1,1
2605,"(43, 69)",0.2039604897971096,0.8386209873424811,175.28062183655132,2167.5,0.9450138940383213,0.09677419354838712,0.7765024241168351,4274.0,0.8915153240606766,1,1,1,1
2606,"(43, 70)",0.49057334087527577,0.6243802979889141,164.92628267358816,2090.5,0.7158532429099833,0.13978494623655924,0.3235650060264084,4309.5,0.968445489210045,1,1,1,1
2607,"(43, 71)",0.6892858854247014,0.4917378784706009,145.93504843960145,2031.5,0.5551439116512527,0.15053763440860224,0.24263996218884212,4263.5,0.8689429502120619,1,1,1,1
2608,"(43, 72)",-0.10058947566001569,0.9199861173216628,183.58654468658355,2128.5,0.8271163553494336,0.13978494623655913,0.32356500602640936,4214.5,0.7652448853858845,1,1,1,1
2609,"(43, 73)",0.3932796307854137,0.6946510981431573,155.65453046751887,2138.0,0.8555815318611073,0.16129032258064518,0.17783264409307828,4149.0,0.6332160438403773,1,1,1,1
2610,"(43, 74)",,,,1942.5,0.35179949251489606,0.23655913978494625,0.01098577460938761,4442.0,0.7488827243662458,1,1,0,1
2611,"(43, 75)",,,,1479.0,0.00678514178814042,0.3548387096774194,1.6427887026265655e-05,3725.0,0.09985291148654625,1,0,0,1
2612,"(43, 76)",0.013909399232037396,0.9889173522199082,183.76582365639572,2128.5,0.8271143256579747,0.11827956989247312,0.5335084608160066,4307.0,0.9630139581069328,1,1,1,1
2613,"(43, 77)",-0.44352981406702185,0.6581114959404537,131.49160591251126,2140.5,0.8630982995721141,0.07526881720430108,0.9548210883333181,4472.0,0.6877456293100235,1,1,1,1
2614,"(43, 78)",0.24775451903695556,0.8046185815884732,172.75029697758245,2178.5,0.9786019884008357,0.09677419354838712,0.7765024241168351,4250.5,0.8410174386013838,1,1,1,1
2615,"(43, 79)",0.04029921419290521,0.9678983859200379,183.52710719739025,2108.5,0.767960013344702,0.10752688172043012,0.655429386457258,4298.0,0.9434299720914755,1,1,1,1
2616,"(43, 80)",-0.5384522379675681,0.5909511979650677,174.46308200894222,2082.5,0.6930882766157009,0.11827956989247312,0.5335084608160066,4248.0,0.8356389819939741,1,1,1,1
2617,"(43, 81)",0.395774489470607,0.6928033184253116,158.5891199762659,2116.5,0.7914854815966987,0.13978494623655913,0.32356500602640936,4202.0,0.7391589418465478,1,1,1,1
2618,"(44, 45)",1.1841724234459414,0.238715981470578,118.43173337293986,2082.5,0.6930962956238318,0.17204301075268819,0.12747943966657732,3971.5,0.33672164207185284,1,1,1,1
2619,"(44, 46)",0.684762232686442,0.49457096429091485,147.1723163035828,2184.5,0.9969427849641298,0.11827956989247312,0.5335084608160066,4033.0,0.4271925437975952,1,1,1,1
2620,"(44, 47)",,,,2019.0,0.5234412096209549,0.09677419354838712,0.7765024241168351,4100.0,0.5403808753068533,1,1,1,1
2621,"(44, 48)",,,,1908.0,0.28764709751806594,0.09677419354838701,0.7765024241168363,4001.5,0.37886306852381413,1,1,1,1
2622,"(44, 49)",0.9962055925039349,0.3210199819836078,128.67337665140673,2060.5,0.6319719724360207,0.17204301075268819,0.12747943966657732,3962.5,0.32450608641653955,1,1,1,1
2623,"(44, 50)",0.5918143082289686,0.5547857065183397,164.8467042323696,2113.0,0.7811698410934493,0.13978494623655918,0.3235650060264089,4091.0,0.5248618262855882,1,1,1,1
2624,"(44, 51)",1.6246899380969335,0.10733981337757538,101.18116542883695,2077.5,0.6790089501228116,0.2903225806451613,0.0007883546570811125,4022.5,0.4111013720746124,1,1,0,1
2625,"(44, 52)",1.12946564145899,0.26095504907431993,119.95328593278035,2092.5,0.7215809493422519,0.20430107526881722,0.04123029361363962,3963.5,0.3254326976766184,1,1,0,1
2626,"(44, 53)",,,,2081.0,0.6888399769225492,0.08602150537634412,0.8815272017572048,4105.5,0.5510542412382755,1,1,1,1
2627,"(44, 54)",,,,1816.0,0.1568185449245855,0.16129032258064524,0.17783264409307795,3881.0,0.22675227219384042,1,1,1,1
2628,"(44, 55)",0.5531291414073852,0.5810036787539175,149.04779361690325,2155.5,0.9084849908057355,0.12903225806451615,0.4210978127131916,3983.5,0.35307959536681655,1,1,1,1
2629,"(44, 56)",,,,1858.0,0.2095055180463251,0.17204301075268824,0.1274794396665772,3976.5,0.34309727483993,1,1,1,1
2630,"(44, 57)",-0.4241594945598464,0.6719449877095451,183.9980481257256,2026.0,0.541092616220604,0.11827956989247312,0.5335084608160066,4084.5,0.5136209646728563,1,1,1,1
2631,"(44, 58)",0.5172516256228086,0.6056595700215441,168.32107129408575,2100.5,0.7446524121056518,0.12903225806451613,0.4210978127131917,4072.5,0.492022584249581,1,1,1,1
2632,"(44, 59)",1.5980703941790972,0.11334075535502089,95.21553688172408,2139.5,0.8600945704778227,0.38709677419354843,1.7738882125512163e-06,3815.0,0.16543212979505095,1,1,0,1
2633,"(44, 60)",1.5059139579051635,0.13524399505125273,99.92383816972493,2133.5,0.8420717755115635,0.33333333333333337,6.506094234534011e-05,3878.0,0.22428728273129128,1,1,0,1
2634,"(44, 61)",0.672398277695816,0.5025810850478925,124.01090972042257,1983.5,0.43893815472131426,0.22580645161290325,0.017443486495211147,3770.5,0.13145247970401727,1,1,0,1
2635,"(44, 62)",,,,1963.5,0.3949739817663175,0.09677419354838712,0.7765024241168351,3985.0,0.3543602528188464,1,1,1,1
2636,"(44, 63)",0.8214490353926213,0.4127617020716148,142.60905681773883,2144.0,0.8736582687324319,0.16129032258064518,0.17783264409307828,4079.5,0.5044786237130012,1,1,1,1
2637,"(44, 64)",1.4516123921982278,0.1496339476607881,103.49817377476215,2170.5,0.9541674856767086,0.2688172043010753,0.0024120387645189577,3881.5,0.22785242941659833,1,1,0,1
2638,"(44, 65)",0.9928732968568519,0.3225514034061203,134.7396490765871,2133.5,0.8420722045232922,0.13978494623655915,0.3235650060264091,4058.5,0.46926383506486247,1,1,1,1
2639,"(44, 66)",1.6273593123317345,0.10695649486992437,95.48163666225793,2131.0,0.8345867227494065,0.38709677419354843,1.7738882125512163e-06,3847.0,0.19368607410008953,1,1,0,1
2640,"(44, 67)",1.33929964570441,0.18316285741526236,112.91319275180167,2120.0,0.8018370802397593,0.2150537634408602,0.02710788651104587,4012.5,0.3958894451407786,1,1,0,1
2641,"(44, 68)",1.3334301360809548,0.18506776078762457,113.19890113478559,2118.0,0.7959180302871594,0.2150537634408602,0.02710788651104587,4016.5,0.4019820797589716,1,1,0,1
2642,"(44, 69)",1.2171537330340823,0.22605992435150823,113.97561522552752,2160.0,0.9221655451643531,0.22580645161290325,0.017443486495211147,3928.0,0.2803715825627663,1,1,0,1
2643,"(44, 70)",1.373568645056019,0.17239070116710017,109.13415287639538,2162.0,0.9282530917121528,0.22580645161290325,0.017443486495211147,3965.5,0.3283902470265616,1,1,0,1
2644,"(44, 71)",1.476349867471951,0.14289122264993623,103.32479817296041,2146.0,0.8797010356135639,0.27956989247311825,0.0013938716778410364,3927.0,0.27920593835448393,1,1,0,1
2645,"(44, 72)",1.0285247960371295,0.3057215770508106,122.98728444549948,2061.5,0.6347016140157868,0.17204301075268819,0.12747943966657732,3916.0,0.26614422795062553,1,1,1,1
2646,"(44, 73)",1.3282860785931905,0.18693587231236009,106.02093098827616,2130.5,0.8330917021851652,0.26881720430107525,0.002412038764518962,3829.0,0.177309946538734,1,1,0,1
2647,"(44, 74)",,,,1861.5,0.21442065676254563,0.13978494623655913,0.32356500602640936,4173.0,0.6799215856838211,1,1,1,1
2648,"(44, 75)",,,,1563.0,0.017061016565493307,0.26881720430107525,0.002412038764518962,3653.0,0.0658582785383394,1,0,0,1
2649,"(44, 76)",1.0783071090372423,0.2829217610811972,128.18032920087745,2164.5,0.9358681858051612,0.16129032258064518,0.17783264409307828,4028.0,0.41972615324931417,1,1,1,1
2650,"(44, 77)",0.5324022103840848,0.5950942568418166,182.724382487545,2112.5,0.7796990889213308,0.17204301075268816,0.1274794396665775,4161.0,0.6562721992211735,1,1,1,1
2651,"(44, 78)",1.2430068067328646,0.21644822631293306,112.56456538101354,2103.5,0.7533755800885529,0.21505376344086025,0.027107886511045797,3919.5,0.27000708696606246,1,1,0,1
2652,"(44, 79)",1.1075235151172944,0.2702323948256496,122.79449565974278,2128.0,0.825622845118564,0.17204301075268819,0.12747943966657732,3969.5,0.33368486064307046,1,1,1,1
2653,"(44, 80)",0.6952710336540859,0.48800864603559546,143.64838078410995,2168.5,0.9480642802748733,0.11827956989247312,0.5335084608160066,4014.5,0.39856393096075593,1,1,1,1
2654,"(44, 81)",1.3282714644752123,0.18691641354362692,106.9330033772979,2105.5,0.7592015673974308,0.2795698924731183,0.0013938716778410314,3848.5,0.1947446479087258,1,1,0,1
2655,"(45, 46)",-0.6892357820483076,0.49167395862809804,159.88132407901605,2160.5,0.9236872114942992,0.12903225806451613,0.4210978127131917,4304.0,0.9565396815210341,1,1,1,1
2656,"(45, 47)",,,,2037.5,0.5706601934244746,0.23655913978494614,0.010985774609387659,4339.5,0.9684638221111004,1,1,0,1
2657,"(45, 48)",,,,1907.0,0.28592458826607503,0.23655913978494614,0.010985774609387659,4229.5,0.7967928874240748,1,1,0,1
2658,"(45, 49)",-0.2908206037192182,0.7715258075840457,178.68242171265052,2177.5,0.9755464308458198,0.13978494623655924,0.3235650060264084,4429.5,0.7759047388545084,1,1,1,1
2659,"(45, 50)",-0.6825234794929699,0.49601653161705783,142.43308203562324,2159.5,0.9206442278816888,0.11827956989247312,0.5335084608160066,4419.0,0.7978269685297934,1,1,1,1
2660,"(45, 51)",0.8944085165851309,0.37255368684180046,148.19274167628726,2109.5,0.770896092145937,0.1935483870967742,0.061375000223921845,4502.0,0.6296819555569242,1,1,1,1
