,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
1929,"(28, 68)",-4.459915280008005,1.4714786938918514e-05,172.98541436082644,466.0,4.4325208463742057e-11,0.3010752688172043,0.0004363960539464239,2819.0,4.1360666006034634e-05,0,0,0,0
1930,"(28, 69)",-36.18683796913175,3.878568899571846e-83,174.8938432946462,0.0,5.559619041040962e-17,1.0,8.159117334355236e-41,0.0,5.039176278250153e-32,0,0,0,0
1931,"(28, 70)",-52.59141613628108,1.412299216035719e-88,128.0724497279394,0.0,5.569057606246827e-17,1.0,8.159117334355236e-41,0.0,5.03851976224988e-32,0,0,0,0
1932,"(28, 71)",-10.261755673410377,1.92512055235924e-19,166.01972232735977,3.0,6.13318265049483e-17,0.6021505376344086,4.533496372475111e-15,1328.5,3.3554978478123673e-16,0,0,0,0
1933,"(28, 72)",-28.716316436630894,4.444233861181352e-68,174.76688823487956,0.0,5.56288452626055e-17,1.0,8.159117334355236e-41,0.0,5.036878835758026e-32,0,0,0,0
1934,"(28, 73)",-29.080326031032207,4.432484579259352e-68,170.9281601685585,0.0,5.558168295262618e-17,1.0,8.159117334355236e-41,0.0,5.034582410838174e-32,0,0,0,0
1935,"(28, 74)",-11.69454476757971,1.8549860060601465e-22,139.7884160476177,19.0,1.0299198405593924e-16,0.6344086021505376,1.1100456510859025e-16,932.5,2.498607134983835e-20,0,0,0,0
1936,"(28, 75)",-31.85034003963172,2.971808971745732e-57,109.69180404413295,0.0,5.56869430494015e-17,1.0,8.159117334355236e-41,0.0,5.034582410838174e-32,0,0,0,0
1937,"(28, 76)",-21.64114893115535,2.7976409030934724e-51,174.43009641812586,0.0,5.563610435515526e-17,0.8817204301075269,7.962912998942335e-32,99.5,1.2058666363067021e-30,0,0,0,0
1938,"(28, 77)",-19.31161545080752,4.1552942664710354e-46,183.84626116422558,0.0,5.567604535269579e-17,0.8494623655913979,1.4341724538726957e-29,130.5,3.201594616056906e-30,0,0,0,0
1939,"(28, 78)",-21.68570458057067,6.050418860945477e-45,129.56139599450026,0.0,5.567604535269579e-17,1.0,8.159117334355236e-41,0.0,5.01951690214586e-32,0,0,0,0
1940,"(28, 79)",-38.493720551249574,1.1973643820125583e-65,109.9750634583513,0.0,5.568331026009165e-17,1.0,8.159117334355236e-41,0.0,5.023770100540322e-32,0,0,0,0
1941,"(28, 80)",-14.417883499942892,1.3361173490109047e-26,104.54092801644556,0.0,5.56869430494015e-17,0.8924731182795699,1.350670774653712e-32,181.0,1.5480386765939458e-29,0,0,0,0
1942,"(28, 81)",-15.818629018198358,1.4424184026031025e-35,174.93122603533556,0.0,5.56288452626055e-17,0.7419354838709677,1.1693766620174643e-22,546.5,7.815563388834356e-25,0,0,0,0
